Time (s),Pressure (hPa)
12.93835264,1010.824463
12.97192198,1010.824463
13.00549131,1010.814453
13.03906065,1010.804443
13.0726605,1010.804443
13.10619932,1010.814453
13.1401959,1010.814453
13.17330747,1010.834412
13.20690733,1010.834412
13.24047666,1010.834412
13.274046,1010.844421
13.30761534,1010.924377
13.34124571,1010.964355
13.37475401,1011.124268
13.4089337,1011.27417
13.44189268,1011.424072
13.47546202,1011.583984
13.50903135,1011.703979
13.54263121,1011.833862
13.57617002,1011.933838
13.60973936,1012.033752
13.64333921,1012.08374
13.67687803,1012.113708
13.71041685,1012.133728
13.7440167,1012.153687
13.77758604,1012.173706
13.81115538,1012.183716
13.84475523,1012.193665
13.87829405,1012.203674
13.9118939,1012.223633
13.94543272,1012.233643
13.97900205,1012.233643
14.01257139,1012.243652
14.04614073,1012.243652
14.07971006,1012.253662
14.1132794,1012.263672
14.14684873,1012.263672
14.18041807,1012.273621
14.21395689,1012.29364
14.24752622,1012.28363
14.28109556,1012.303589
14.31469541,1012.323608
14.34826475,1012.333618
14.38183409,1012.333618
14.41540342,1012.343628
14.44897276,1012.353577
14.48254209,1012.363586
14.51611143,1012.373596
14.54965025,1012.373596
14.5832501,1012.373596
14.61681944,1012.373596
14.65035826,1012.383545
14.68392759,1012.403564
14.71752745,1012.403564
14.75106626,1012.423584
14.78460508,1012.443542
14.81820494,1012.453552
14.85180479,1012.453552
14.88537413,1012.463501
14.91891294,1012.463501
14.9525128,1012.473511
14.98608213,1012.473511
15.01965147,1012.473511
15.05328184,1012.473511
15.08679014,1012.483521
15.12035948,1012.49353
15.15392881,1012.49353
15.18749815,1012.50354
15.22106748,1012.513489
15.25469786,1012.523499
15.28823667,1012.523499
15.32177549,1012.523499
15.35534483,1012.523499
15.38891416,1012.523499
15.42251402,1012.543457
15.45605284,1012.543457
15.48962217,1012.553467
15.52322203,1012.563477
15.55682188,1012.563477
15.5903607,1012.583496
15.62389952,1012.583496
15.65746885,1012.593445
15.69103819,1012.603455
15.72463804,1012.613464
15.75814634,1012.613464
15.79177671,1012.623413
15.82531553,1012.633423
15.8589459,1012.613464
15.8924542,1012.633423
15.92602354,1012.633423
15.95959288,1012.643433
15.99313169,1012.653442
16.02676206,1012.663452
16.06027037,1012.663452
16.09387022,1012.663452
16.12759214,1012.653442
16.16097837,1012.653442
16.19454771,1012.663452
16.22814756,1012.653442
16.2617169,1012.663452
16.29528623,1012.663452
16.32885557,1012.663452
16.36242491,1012.673401
16.39632994,1012.663452
16.42956358,1012.673401
16.46319395,1012.673401
16.49673277,1012.683411
16.53027159,1012.683411
16.56384092,1012.683411
16.59741026,1012.683411
16.63097959,1012.683411
16.66506773,1012.683411
16.69811827,1012.69342
16.7316876,1012.703369
16.76531797,1012.703369
16.79885679,1012.723389
16.83239561,1012.713379
16.86596495,1012.723389
16.89953428,1012.723389
16.93310362,1012.733398
16.96664244,1012.733398
17.00021177,1012.733398
17.03378111,1012.733398
17.06735044,1012.733398
17.10091978,1012.743408
